Countries,TrackName,ArtistName,AlbumName,Popularity,Date,Duration
FRA,Problèmes de Riche,Josman,J.000.$,68,2023-10-28,3:12
DEU,Push Up - Main Edit,Creeds,Push Up (Main Edit),85,2023-03-31,2:19
"ARG, ECU, ESP, MEX, USA",QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,2023-08-10,2:52
ARG,QUE ME FALTE TODO,Luck Ra,QUE ME FALTE TODO,69,2023-10-26,2:45
MEX,QUE VUELVAS,Grupo Frontera,El Comienzo,82,2023-08-25,2:49
ECU,QUEMA,Ryan Castro,QUEMA,88,2023-07-13,2:30
BRA,Quase Algo - Ao Vivo,Henrique & Juliano,To Be (Ao Vivo Em Nova Iorque EP1),83,2023-09-15,2:58
"ECU, MEX",Que Onda,Calle 24,Que Onda,94,2023-08-30,3:11
ESP,Quien Es Dei V?,Dei V,Quien Es Dei V?,82,2023-03-17,2:42
ESP,REINA,Mora,ESTRELLA,88,2023-08-28,3:31
ITA,RESPIRA (feat. Marracash),Salmo,CVLT,73,2023-11-03,3:43
MEX,ROCKSTAR,Junior H,$AD BOYZ 4 LIFE II,85,2023-10-05,2:48
MEX,RUBICON,Peso Pluma,GÉNESIS,87,2023-06-29,3:58
"ARG, ECU",Rara Vez,Taiu,Rara Vez,89,2023-02-08,2:08
ITA,Red Light,Tedua,La Divina Commedia,74,2023-06-02,2:47
"ECU, MEX",Reggaeton Champagne,Bellakath,Kittyponeo,88,2023-10-05,2:35
"AUS, CAN, GBR, USA",Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,For All The Dogs,88,2023-10-06,5:19
AUS,Riptide,Vance Joy,Dream Your Life Away (Special Edition),83,2014-09-09,3:24
USA,Romantic Homicide,d4vd,Romantic Homicide,91,2022-07-20,2:12
"ECU, MEX",Rosa Pastel,Belanova,Gran Disco Mini Precio - Dulce Beat,65,2005-01-01,3:05
ITA,Rubami la Notte,Pinguini Tattici Nucleari,Fake News,70,2022-12-02,3:09
DEU,S u m m e r t i m e,danicpeepner,S u m m e r t i m e,55,2015-06-08,3:15
MEX,SABOR FRESA,Fuerza Regida,Pa las Baby's Y Belikeada,77,2023-10-20,2:36
ESP,SEDA,Bad Bunny,nadie sabe lo que va a pasar mañana,90,2023-10-13,3:10
"ESP, FRA",SEYA,GIMS,LES DERNIÈRES VOLONTÉS DE MOZART (SYMPHONY),66,2023-10-05,3:08
FRA,Saiyan,Heuss L'enfoiré,Chef D'orchestre,76,2023-06-30,3:09
ARG,Salgo a Bailar,FMK,Salgo a Bailar,79,2023-07-14,2:37
"AUS, CAN, DEU, GBR, USA",Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,4:39
DEU,Scheine zählen,AYLIVA,Schwarzes Herz,78,2023-08-25,2:47
USA,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,92,2017-07-21,3:00
BRA,Segredo,KayBlack,Contradições,78,2023-03-31,1:44
"ECU, MEX",Según Quién,Maluma,Don Juan,89,2023-08-25,2:22
BRA,Seu Brilho Sumiu - Ao Vivo,Israel & Rodolffo,"Let's Bora, Vol. 2 (Ao Vivo)",82,2023-03-02,2:48
"CAN, ECU, USA",Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,2023-11-03,3:03
FRA,Shavkat,Freeze corleone,ADC,70,2023-09-11,3:39
"ARG, DEU, ECU, ESP, FRA, ITA, MEX",Si No Estás,iñigo quintero,Si No Estás,99,2022-09-23,3:04
MEX,Skin de Bandida,Oscar Maydon,Skin de Bandida,86,2023-09-22,2:56
"CAN, USA",Snooze,SZA,SOS,92,2022-12-09,3:21
FRA,Solitaire,Werenoi,Telegram,73,2022-10-28,2:26
BRA,Solteiro Forçado - Boiadeira Internacional,Ana Castela,Solteiro Forçado (Boiadeira Internacional),87,2023-07-07,3:14
"AUS, CAN, USA",Something in the Orange,Zach Bryan,Something in the Orange,90,2022-04-22,3:48
ITA,Soraya,Medy,Soraya,68,2023-10-20,3:00
BRA,Sou Musa do Verão,Marshmello,Sugar Papi,64,2023-11-03,3:07
"AUS, CAN, GBR",Sprinter,Dave,Sprinter,93,2023-06-01,3:46
"AUS, BRA, CAN, ECU, GBR, USA",Standing Next to You,Jung Kook,GOLDEN,91,2023-11-03,3:26
"AUS, CAN, GBR, USA",Stick Season,Noah Kahan,Stick Season,89,2022-10-14,3:02
"AUS, CAN, DEU, FRA, GBR, USA",Strangers,Kenya Grace,Strangers,98,2023-09-01,2:52
"AUS, CAN, GBR, USA",Style (Taylor's Version),Taylor Swift,1989 (Taylor's Version),90,2023-10-26,3:51
"AUS, CAN, USA",Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),88,2023-10-26,2:51
"CAN, GBR, USA",Sweater Weather,The Neighbourhood,I Love You.,93,2013-04-19,4:00
ITA,Syrup,Shiva,Syrup,78,2023-09-14,3:09
DEU,TABU.,Yung Yury,TABU.,77,2023-03-17,2:15
ITA,TAXI SULLA LUNA,Tony Effe,TAXI SULLA LUNA,77,2023-06-08,2:23
ESP,THUNDER Y LIGHTNING,Bad Bunny,nadie sabe lo que va a pasar mañana,87,2023-10-13,3:37
ITA,TOP G (feat. Sacky),Artie 5ive,ASPETTANDO LA BELLA VITA,72,2023-07-20,3:39
ECU,TQG,KAROL G,MAÑANA SERÁ BONITO,90,2023-02-24,3:19
MEX,TQM,Fuerza Regida,Pa las Baby's Y Belikeada,75,2023-10-20,2:37
MEX,TULUM,Peso Pluma,GÉNESIS,90,2023-06-29,3:29
GBR,Take Me to Church,Hozier,Hozier (Expanded Edition),80,2014-09-19,4:01
DEU,Take it,Jazeek,Take it,77,2023-09-22,2:52
FRA,Tattoo,Loreen,Tattoo,89,2023-02-25,3:03
BRA,Tengo,Juliette,Ciclone,68,2023-08-25,2:09
CAN,The Color Violet,Tory Lanez,Alone At Prom,89,2021-12-10,3:46
AUS,The Kind of Love We Make,Luke Combs,Growin' Up,83,2022-06-24,3:44
FRA,The Magic Key,Trinix,The Magic Key,76,2023-04-07,2:51
"AUS, GBR",The Night We Met,Lord Huron,Strange Trails,83,2015-04-07,3:28
"CAN, USA",Thinkin’ Bout Me,Morgan Wallen,One Thing At A Time,86,2023-03-03,2:57
BRA,Toca o Trompete,Felipe Amorim,Cadê o After? Pt. 1,86,2023-07-21,2:43
ARG,Toy en el Mic,Bizarrap,en dormir sin Madrid,87,2023-10-04,2:23
BRA,Traumatizei - Ao Vivo Em Brasília,Henrique & Juliano,To Be (Ao Vivo Em Brasília),74,2023-07-28,2:52
ITA,Tutti,Calcutta ,RELAX,74,2023-10-20,4:10
BRA,Tá OK,DENNIS,Tá OK,86,2023-05-04,1:32
BRA,Tô Voltando - (Boiadeira Internacional),Ana Castela,Tô Voltando (Boiadeira Internacional),84,2023-08-25,2:57
"ARG, ECU, MEX",UN PREVIEW,Bad Bunny,nadie sabe lo que va a pasar mañana,87,2023-10-13,2:45
BRA,Um Mês E Pouco - Ao Vivo,Zé Neto & Cristiano,"Escolhas, Vol. 2 (Ao Vivo)",85,2023-06-22,2:51
ITA,Un Altro Mondo (con Tananai & Marracash),Merk & Kremont,Un Altro Mondo (con Tananai & Marracash),75,2023-06-21,2:47
ARG,Un Finde | CROSSOVER #2,Big One,Un Finde | CROSSOVER #2,87,2023-04-04,2:43
ARG,Una Foto,Mesita,Una Foto,83,2023-08-15,2:02
ESP,VAGABUNDO,Sebastian Yatra,VAGABUNDO,86,2023-05-12,3:35
ITA,VETRI NERI,AVA,VETRI NERI,80,2023-05-19,2:44
BRA,Vem Quebrando,Mc Danone,Vem Quebrando,82,2023-07-17,2:28
MEX,Vete,Alfredo Olivas,ALFA & OMEGA,83,2022-09-30,3:05
"DEU, FRA",Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),91,2023-08-04,2:58
BRA,Voltou Com Quem Não Voltava - Ao Vivo,Israel & Rodolffo,"Let's Bora, Vol. 3 (Ao Vivo)",81,2023-05-18,2:27
DEU,WE THE HOTTEST IN HERE,reezy,WE THE HOTTEST IN HERE,71,2023-10-27,1:58
ECU,WHERE SHE GOES,Bad Bunny,nadie sabe lo que va a pasar mañana,85,2023-10-13,3:51
CAN,Wasted On You,Morgan Wallen,Dangerous: The Double Album,86,2021-01-08,2:58
"AUS, CAN, DEU, FRA, GBR, USA",Water,Tyla,Water,95,2023-07-28,3:20
DEU,Weiche Kissen,Kontra K,Weiche Kissen,43,2023-10-19,3:00
DEU,Weißes Haus,AYLIVA,Schwarzes Herz,76,2023-08-25,2:48
DEU,Wenn du lächelst,Milano,Wenn du lächelst,73,2023-10-23,2:03
"AUS, CAN, GBR","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,2023-07-13,3:42
USA,White Christmas - 1947 Version,Bing Crosby,Holiday Inn (Original Motion Picture Soundtrack),74,1942-01-01,2:57
GBR,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,90,2013-09-09,2:41
"CAN, USA",Wildest Dreams (Taylor's Version),Taylor Swift,1989 (Taylor's Version),86,2023-10-26,3:40
ITA,X CASO (feat. Sfera Ebbasta),Geolier,IL CORAGGIO DEI BAMBINI,74,2023-01-06,3:35
MEX,Y LLORO,Junior H,$AD BOYZ 4 LIFE II,90,2023-10-05,2:59
ARG,Ya No Vuelvas (Versión Cuarteto),Luck Ra,Ya No Vuelvas (Versión Cuarteto),82,2022-12-01,3:24
ECU,Yandel 150,Yandel,Resistencia,84,2023-01-13,3:36
MEX,Yo Todo Lo Doy,Alfredo Olivas,ALFA & OMEGA,81,2022-09-30,3:22
"CAN, USA",You Proof,Morgan Wallen,One Thing At A Time,85,2023-03-03,2:37
GBR,adore u,Fred again..,adore u,83,2023-08-11,3:40
"GBR, USA",bad idea right?,Olivia Rodrigo,GUTS,92,2023-09-08,3:04
ITA,bellissimissima <3,Alfa,bellissimissima <3,78,2023-05-12,2:37
"AUS, CAN, GBR, USA",fukumean,Gunna,a Gift & a Curse,95,2023-06-16,2:05
"AUS, GBR",get him back!,Olivia Rodrigo,GUTS,90,2023-09-08,3:31
"AUS, BRA, CAN, DEU, FRA, GBR, USA",greedy,Tate McRae,greedy,100,2023-09-15,2:11
ESP,lady madrizZz,céro,lady madrizZz,70,2023-09-01,2:11
"ECU, MEX",un x100to,Grupo Frontera,El Comienzo,86,2023-08-25,3:14
"AUS, CAN, GBR, USA",vampire,Olivia Rodrigo,GUTS,95,2023-09-08,3:39
