primaryTitle;titleType;startYear;runtimeMinutes;genre;director;averageRating;numVotes
Snowden;movie;2016;134;Biography;Oliver Stone;7.3;170070
Monster;movie;2003;109;Biography;Patty Jenkins;7.3;169790
Anbe Sivam;movie;2003;160;Adventure;Sundar C.;8.6;27494
The Disaster Artist;movie;2017;104;Biography;James Franco;7.3;169690
The King;movie;2019;140;Biography;David Michôd;7.3;169656
The Chaser;movie;2008;125;Action;Na Hong-jin;7.8;78187
Throne of Blood;movie;1957;110;Drama;Akira Kurosawa;8.0;58979
Memoirs of a Geisha;movie;2005;145;Drama;Rob Marshall;7.3;169004
Basic Instinct;movie;1992;127;Drama;Paul Verhoeven;7.1;236807
The Ides of March;movie;2011;101;Drama;George Clooney;7.1;236691
Beasts of No Nation;movie;2015;137;Drama;Cary Joji Fukunaga;7.7;89969
Coming to America;movie;1988;117;Comedy;John Landis;7.1;235431
Signs;movie;2002;106;Drama;M. Night Shyamalan;6.8;406159
The Founder;movie;2016;115;Biography;John Lee Hancock;7.2;197870
Tangerines;movie;2013;87;Drama;Zaza Urushadze;8.1;51035
50 First Dates;movie;2004;99;Comedy;Peter Segal;6.8;405378
Men in Black³;movie;2012;106;Action;Barry Sonnenfeld;6.8;404917
The Philadelphia Story;movie;1940;112;Comedy;George Cukor;7.8;77274
Man on the Moon;movie;1999;118;Biography;Milos Forman;7.4;141920
The Adjustment Bureau;movie;2011;106;Crime;George Nolfi;7.0;279179
Step Brothers;movie;2008;98;Comedy;Adam McKay;6.9;334809
A Single Man;movie;2009;99;Drama;Tom Ford;7.5;121003
The Muppet Christmas Carol;movie;1992;85;Comedy;Brian Henson;7.8;77016
Nayakan;movie;1987;145;Crime;Mani Ratnam;8.6;27040
Con Air;movie;1997;115;Action;Simon West;6.9;334099
The NeverEnding Story;movie;1984;102;Adventure;Wolfgang Petersen;7.3;166361
Fried Green Tomatoes;movie;1991;130;Drama;Jon Avnet;7.7;89075
Pirates of the Caribbean: On Stranger Tides;movie;2011;136;Action;Rob Marshall;6.6;595069
Black Cat, White Cat;movie;1998;127;Comedy;Emir Kusturica;8.0;58071
Rounders;movie;1998;121;Crime;John Dahl;7.3;166169
Little Children;movie;2006;137;Drama;Todd Field;7.5;120577
Winter Sleep;movie;2014;196;Drama;Nuri Bilge Ceylan;8.0;58028
The Day the Earth Stood Still;movie;1951;92;Drama;Robert Wise;7.7;88789
The Super Mario Bros. Movie;movie;2023;92;Adventure;Aaron Horvath;7.0;276902
Venom;movie;2018;112;Action;Ruben Fleischer;6.6;590696
The Bank Job;movie;2008;111;Crime;Roger Donaldson;7.2;195096
Public Enemies;movie;2009;140;Biography;Michael Mann;6.9;331236
Yes Man;movie;2008;104;Comedy;Peyton Reed;6.8;398803
Unbroken;movie;2014;137;Biography;Angelina Jolie;7.2;194429
Lars and the Real Girl;movie;2007;106;Comedy;Craig Gillespie;7.3;164428
Wrath of Man;movie;2021;119;Action;Guy Ritchie;7.1;230623
Thirteen Lives;movie;2022;147;Biography;Ron Howard;7.8;75954
The Man Who Wasn't There;movie;2001;116;Crime;Joel Coen;7.5;118955
Andaz Apna Apna;movie;1994;160;Action;Rajkumar Santoshi;8.0;57264
Chronicle;movie;2012;84;Adventure;Josh Trank;7.0;273774
Koyaanisqatsi;movie;1982;86;Documentary;Godfrey Reggio;8.2;43798
Rebel Without a Cause;movie;1955;111;Drama;Nicholas Ray;7.6;101830
House of Flying Daggers;movie;2004;119;Action;Yimou Zhang;7.5;118699
The African Queen;movie;1951;105;Adventure;John Huston;7.7;87607
The Negotiator;movie;1998;140;Action;F. Gary Gray;7.3;163201
Alice in Wonderland;movie;1951;75;Adventure;Clyde Geronimi;7.3;163009
Orphan;movie;2009;123;Horror;Jaume Collet-Serra;7.0;272071
Departures;movie;2008;130;Drama;Yôjirô Takita;8.0;56769
Good Morning, Vietnam;movie;1987;121;Biography;Barry Levinson;7.3;162144
Peter Pan;movie;1953;77;Adventure;Clyde Geronimi;7.3;162060
Bambi;movie;1942;69;Adventure;James Algar;7.3;162038
4 Months, 3 Weeks and 2 Days;movie;2007;113;Drama;Cristian Mungiu;7.9;65121
In Time;movie;2011;109;Action;Andrew Niccol;6.7;474082
Spy;movie;2015;120;Action;Paul Feig;7.0;270665
Enchanted;movie;2007;107;Adventure;Kevin Lima;7.1;226294
American Made;movie;2017;115;Action;Doug Liman;7.1;226277
Breaking the Waves;movie;1996;153;Drama;Lars von Trier;7.8;74738
The Warriors;movie;1979;93;Action;Walter Hill;7.5;117035
The Amazing Spider-Man 2;movie;2014;142;Action;Marc Webb;6.6;574333
Armageddon;movie;1998;151;Action;Michael Bay;6.7;471189
The Act of Killing;movie;2012;117;Biography;Joshua Oppenheimer;8.2;43182
Austin Powers: International Man of Mystery;movie;1997;89;Adventure;Jay Roach;7.0;268853
Thunderbolts*;movie;2025;127;Action;Jake Schreier;7.1;225109
Stop Making Sense;movie;1984;88;Documentary;Jonathan Demme;8.7;23301
Udaan;movie;2010;134;Drama;Vikramaditya Motwane;8.1;49076
The Proposal;movie;2009;108;Comedy;Anne Fletcher;6.8;386767
Labyrinth;movie;1986;101;Adventure;Jim Henson;7.3;159954
Dr. No;movie;1962;110;Action;Terence Young;7.2;188760
Annihilation;movie;2018;115;Adventure;Alex Garland;6.8;385618
Star Trek Beyond;movie;2016;122;Action;Justin Lin;7.0;266783
Shadow of a Doubt;movie;1943;108;Drama;Alfred Hitchcock;7.8;73973
The Last Picture Show;movie;1971;118;Drama;Peter Bogdanovich;8.0;55830
Battleship Potemkin;movie;1925;66;Drama;Sergei Eisenstein;7.9;64109
Hustle;movie;2022;117;Comedy;Jeremiah Zagar;7.3;158878
X-Men: The Last Stand;movie;2006;104;Action;Brett Ratner;6.6;565136
Irreversible;movie;2002;97;Crime;Gaspar Noé;7.3;158646
Ip Man 2;movie;2010;108;Action;Wilson Yip;7.5;115004
Jab We Met;movie;2007;138;Comedy;Imtiaz Ali;7.9;63702
Chicken Run;movie;2000;84;Adventure;Peter Lord;7.1;221535
Raising Arizona;movie;1987;94;Comedy;Joel Coen;7.3;158058
Frankenstein;movie;1931;70;Drama;James Whale;7.7;84824
National Lampoon's Animal House;movie;1978;109;Comedy;John Landis;7.4;134357
Lady and the Tramp;movie;1955;76;Adventure;Clyde Geronimi;7.3;157924
Spaceballs;movie;1987;96;Adventure;Mel Brooks;7.1;220933
Pushpa: The Rise - Part 1;movie;2021;179;Action;Sukumar;7.6;98269
Bridge to Terabithia;movie;2007;96;Drama;Gabor Csupo;7.2;185989
To Be or Not to Be;movie;1942;99;Comedy;Ernst Lubitsch;8.1;48249
Us;movie;2019;116;Horror;Jordan Peele;6.8;378443
Lolita;movie;1962;153;Crime;Stanley Kubrick;7.5;113933
American Fiction;movie;2023;117;Comedy;Cord Jefferson;7.5;113886
Steve Jobs;movie;2015;122;Biography;Danny Boyle;7.2;184941
Crimson Tide;movie;1995;116;Action;Tony Scott;7.4;133065
Pitch Black;movie;2000;109;Horror;David Twohy;7.0;261033
The Incredible Hulk;movie;2008;112;Action;Louis Leterrier;6.6;553188
Team America: World Police;movie;2004;98;Action;Trey Parker;7.2;183584
Tron: Legacy;movie;2010;125;Action;Joseph Kosinski;6.8;372953
Baby;movie;2015;159;Action;Neeraj Pandey;7.9;62421
The World's End;movie;2013;109;Action;Edgar Wright;6.9;308881
The Virgin Suicides;movie;1999;97;Drama;Sofia Coppola;7.2;182383
Aladdin;movie;2019;128;Adventure;Guy Ritchie;6.9;308183
Black Book;movie;2006;145;Drama;Paul Verhoeven;7.7;82881
The Constant Gardener;movie;2005;129;Drama;Fernando Meirelles;7.3;154022
The Dirty Dozen;movie;1967;150;Action;Robert Aldrich;7.7;82690
The Princess and the Frog;movie;2009;97;Adventure;Ron Clements;7.2;181386
Badlands;movie;1973;94;Action;Terrence Malick;7.7;82622
Blood Simple;movie;1984;99;Crime;Joel Coen;7.5;111599
Michael Clayton;movie;2007;119;Crime;Tony Gilroy;7.2;181049
From Russia with Love;movie;1963;115;Action;Terence Young;7.3;153226
What Is a Woman?;movie;2022;95;Documentary;Justin Folk;8.1;47037
The Ballad of Buster Scruggs;movie;2018;133;Comedy;Ethan Coen;7.2;179435
Old School;movie;2003;88;Comedy;Todd Phillips;7.0;253520
Rambo;movie;2008;92;Action;Sylvester Stallone;7.0;253377
Civil War;movie;2024;109;Action;Alex Garland;7.0;252998
Headhunters;movie;2011;100;Action;Morten Tyldum;7.5;110185
The Bridges of Madison County;movie;1995;135;Drama;Clint Eastwood;7.6;94502
The Chorus;movie;2004;97;Drama;Christophe Barratier;7.8;70396
Nine Queens;movie;2000;114;Crime;Fabián Bielinsky;7.9;61075
Vanilla Sky;movie;2001;136;Fantasy;Cameron Crowe;6.9;301567
Saltburn;movie;2023;131;Drama;Emerald Fennell;7.0;251725
Pather Panchali;movie;1955;125;Drama;Satyajit Ray;8.2;40776
Paddington;movie;2014;95;Adventure;Paul King;7.3;150899
Carol;movie;2015;118;Drama;Todd Haynes;7.3;150662
Sarpatta Parambarai;movie;2021;173;Action;Pa. Ranjith;8.5;27988
Napoleon Dynamite;movie;2004;96;Comedy;Jared Hess;7.0;251001
The Hunger Games: Mockingjay - Part 1;movie;2014;123;Action;Francis Lawrence;6.6;533201
Stalag 17;movie;1953;120;Comedy;Billy Wilder;7.9;60686
Airlift;movie;2016;130;Drama;Raja Menon;7.9;60657
Kung Fu Panda 3;movie;2016;95;Action;Alessandro Carloni;7.1;209739
Good Time;movie;2017;102;Crime;Benny Safdie;7.3;149820
A League of Their Own;movie;1992;128;Comedy;Penny Marshall;7.4;127511
3-Iron;movie;2004;88;Crime;Kim Ki-duk;7.9;60465
Insidious;movie;2010;103;Horror;James Wan;6.8;358758
Lage Raho Munna Bhai;movie;2006;144;Comedy;Rajkumar Hirani;8.0;52593
The Chaos Class Is Waking Up;movie;1976;94;Comedy;Ertem Egilmez;8.7;21925
Harvey;movie;1950;104;Comedy;Henry Koster;7.9;60217
The Social Dilemma;movie;2020;94;Documentary;Jeff Orlowski-Yang;7.6;92933
The Ghost Writer;movie;2010;128;Crime;Roman Polanski;7.2;175341
Body of Lies;movie;2008;128;Action;Ridley Scott;7.0;247455
Bringing Up Baby;movie;1938;102;Comedy;Howard Hawks;7.8;69203
Dead Alive;movie;1992;104;Comedy;Peter Jackson;7.5;108048
The Little Mermaid;movie;2023;135;Adventure;Rob Marshall;7.2;175116
The Edge of Seventeen;movie;2016;104;Comedy;Kelly Fremon Craig;7.3;148241
About Elly;movie;2009;119;Drama;Asghar Farhadi;7.9;59982
They Shall Not Grow Old;movie;2018;99;Documentary;Peter Jackson;8.2;40103
The Book of Eli;movie;2010;118;Action;Albert Hughes;6.8;355383
Sing;movie;2016;108;Animation;Garth Jennings;7.1;206930
Togo;movie;2019;113;Adventure;Ericson Core;7.9;59714
Jacob's Ladder;movie;1990;113;Drama;Adrian Lyne;7.4;125508
Dead Man;movie;1995;121;Adventure;Jim Jarmusch;7.5;107312
Capote;movie;2005;114;Biography;Bennett Miller;7.3;147192
Desperado;movie;1995;104;Action;Robert Rodriguez;7.1;205520
42;movie;2013;128;Biography;Brian Helgeland;7.5;107018
Batman v Superman: Dawn of Justice;movie;2016;151;Action;Zack Snyder;6.4;781445
After Hours;movie;1985;97;Comedy;Martin Scorsese;7.6;91661
The Lost Boys;movie;1987;97;Comedy;Joel Schumacher;7.2;172831
The Man from Nowhere;movie;2010;119;Action;Lee Jeong-beom;7.7;78976
Boys Don't Cry;movie;1999;118;Biography;Kimberly Peirce;7.5;106680
Melancholia;movie;2011;135;Drama;Lars von Trier;7.1;204772
The Danish Girl;movie;2015;119;Biography;Tom Hooper;7.1;204754
Wanted;movie;2008;110;Action;Timur Bekmambetov;6.7;423747
Dead Man Walking;movie;1995;122;Crime;Tim Robbins;7.5;106339
Freedom Writers;movie;2007;123;Biography;Richard LaGravenese;7.6;91307
The Right Stuff;movie;1983;193;Adventure;Philip Kaufman;7.8;68030
Paan Singh Tomar;movie;2012;135;Action;Tigmanshu Dhulia;8.2;39479
Happiness;movie;1998;134;Comedy;Todd Solondz;7.7;78413
Vice;movie;2018;132;Biography;Adam McKay;7.2;171435
Barbarian;movie;2022;102;Horror;Zach Cregger;7.0;241662
Side Effects;movie;2013;106;Crime;Steven Soderbergh;7.1;202784
Mother;movie;2009;129;Crime;Bong Joon Ho;7.7;78247
War Horse;movie;2011;146;Adventure;Steven Spielberg;7.2;170883
Divergent;movie;2014;139;Action;Neil Burger;6.6;510746
Pink;movie;2016;136;Crime;Aniruddha Roy Chowdhury;8.0;51056
I, Daniel Blake;movie;2016;100;Drama;Ken Loach;7.8;67412
28 Weeks Later;movie;2007;99;Horror;Juan Carlos Fresnadillo;6.8;345232
Fiddler on the Roof;movie;1971;181;Drama;Norman Jewison;8.0;50947
Miracle on 34th Street;movie;1947;96;Comedy;George Seaton;7.9;58363
The Post;movie;2017;116;Biography;Steven Spielberg;7.2;169403
Matchstick Men;movie;2003;116;Comedy;Ridley Scott;7.3;143503
Malena;movie;2000;108;Drama;Giuseppe Tornatore;7.4;122220
Loving Vincent;movie;2017;94;Animation;DK Welchman;7.8;67010
Clerks II;movie;2006;97;Comedy;Kevin Smith;7.3;143396
Sleeping Beauty;movie;1959;75;Adventure;Les Clark;7.2;169088
Richard Jewell;movie;2019;131;Biography;Clint Eastwood;7.5;104400
Talk to Me;movie;2022;95;Horror;Danny Philippou;7.1;199989
20 Days in Mariupol;movie;2023;97;Documentary;Mstyslav Chernov;8.5;26747
13th;movie;2016;100;Crime;Ava DuVernay;8.2;38829
Mission: Impossible - The Final Reckoning;movie;2025;169;Action;Christopher McQuarrie;7.2;168451
Non-Stop;movie;2014;106;Action;Jaume Collet-Serra;6.9;284040
His Girl Friday;movie;1940;92;Comedy;Howard Hawks;7.8;66556
Babylon;movie;2022;189;Comedy;Damien Chazelle;7.1;198907
Secrets & Lies;movie;1996;136;Comedy;Mike Leigh;8.0;50403
Frequency;movie;2000;118;Crime;Gregory Hoblit;7.4;121213
Aguirre, the Wrath of God;movie;1972;95;Action;Werner Herzog;7.8;66298
Ghostbusters: Afterlife;movie;2021;124;Adventure;Jason Reitman;7.0;235791
War of the Worlds;movie;2005;117;Action;Steven Spielberg;6.6;498103
About a Boy;movie;2002;101;Comedy;Chris Weitz;7.1;197548
Synecdoche, New York;movie;2008;124;Drama;Charlie Kaufman;7.5;102860
Grizzly Man;movie;2005;103;Biography;Werner Herzog;7.8;65978
The Zone of Interest;movie;2023;105;Drama;Jonathan Glazer;7.3;141000
Tootsie;movie;1982;116;Comedy;Sydney Pollack;7.4;120123
Beautiful Boy;movie;2018;120;Biography;Felix van Groeningen;7.4;120067
The Island;movie;2005;136;Action;Michael Bay;6.8;336577
Icarus;movie;2017;120;Documentary;Bryan Fogel;7.9;57191
Ice Age: Dawn of the Dinosaurs;movie;2009;94;Adventure;Carlos Saldanha;6.9;279762
Open Your Eyes;movie;1997;119;Drama;Alejandro Amenábar;7.7;76000
The Master;movie;2012;138;Drama;Paul Thomas Anderson;7.1;196003
Coherence;movie;2013;89;Mystery;James Ward Byrkit;7.2;165370
The Wicker Man;movie;1973;88;Horror;Robin Hardy;7.5;102262
Perfect Strangers;movie;2016;96;Comedy;Paolo Genovese;7.7;75703
The Walk;movie;2015;123;Adventure;Robert Zemeckis;7.3;139969
Ghost Dog: The Way of the Samurai;movie;1999;116;Crime;Jim Jarmusch;7.5;102041
Jersey;movie;2019;157;Drama;Gowtam Tinnanuri;8.5;26266
The Adventures of Robin Hood;movie;1938;102;Action;Michael Curtiz;7.9;56883
Cloudy with a Chance of Meatballs;movie;2009;90;Adventure;Phil Lord;6.9;277621
The Transporter;movie;2002;92;Action;Louis Leterrier;6.8;333749
Paul;movie;2011;104;Adventure;Greg Mottola;6.9;277422
Only the Brave;movie;2017;134;Action;Joseph Kosinski;7.6;87435
The Lunchbox;movie;2013;104;Drama;Ritesh Batra;7.8;65297
Gangubai Kathiawadi;movie;2022;152;Biography;Sanjay Leela Bhansali;7.8;65279
Okja;movie;2017;120;Action;Bong Joon Ho;7.3;139429
Deepwater Horizon;movie;2016;107;Action;Peter Berg;7.1;194645
I Origins;movie;2014;106;Drama;Mike Cahill;7.3;138903
Midnight Run;movie;1988;126;Action;Martin Brest;7.5;101233
Planet Terror;movie;2007;105;Action;Robert Rodriguez;7.0;230428
Karthikeya 2;movie;2022;150;Action;Chandoo Mondeti;7.8;64904
Big Trouble in Little China;movie;1986;99;Action;John Carpenter;7.2;163331
Elysium;movie;2013;109;Action;Neill Blomkamp;6.6;485823
Central Station;movie;1998;110;Drama;Walter Salles;8.0;49005
Crank;movie;2006;88;Action;Mark Neveldine;6.9;273883
Mirror;movie;1975;107;Biography;Andrei Tarkovsky;7.9;56122
Cat on a Hot Tin Roof;movie;1958;108;Drama;Richard Brooks;7.9;55993
Cold Mountain;movie;2003;154;Adventure;Anthony Minghella;7.2;161955
Mr. Brooks;movie;2007;120;Crime;Bruce A. Evans;7.2;161843
Pride;movie;2014;119;Biography;Matthew Warchus;7.8;64224
Contagion;movie;2011;106;Drama;Steven Soderbergh;6.8;326974
Tremors;movie;1990;96;Comedy;Ron Underwood;7.2;161392
Veer-Zaara;movie;2004;192;Drama;Yash Chopra;7.8;64056
The Piano;movie;1993;121;Drama;Jane Campion;7.5;99531
The Da Vinci Code;movie;2006;149;Mystery;Ron Howard;6.6;477666
Clueless;movie;1995;97;Comedy;Amy Heckerling;6.9;270216
Kingsman: The Golden Circle;movie;2017;141;Action;Matthew Vaughn;6.7;392422
Game Night;movie;2018;100;Action;John Francis Daley;6.9;269653
The Red Shoes;movie;1948;135;Drama;Michael Powell;8.1;42237
Mr. & Mrs. Smith;movie;2005;120;Action;Doug Liman;6.5;577796
A Man Called Ove;movie;2015;116;Comedy;Hannes Holm;7.7;73004
Cabaret;movie;1972;124;Drama;Bob Fosse;7.8;63202
P.S. I Love You;movie;2007;126;Comedy;Richard LaGravenese;7.0;223423
Bridesmaids;movie;2011;125;Comedy;Paul Feig;6.8;320559
I Love You, Man;movie;2009;105;Comedy;John Hamburg;7.0;223143
Selma;movie;2014;128;Biography;Ava DuVernay;7.5;98167
The Kite Runner;movie;2007;128;Drama;Marc Forster;7.6;84317
They Live;movie;1988;94;Action;John Carpenter;7.2;158248
Rio;movie;2011;96;Adventure;Carlos Saldanha;6.9;266143
Tinker Tailor Soldier Spy;movie;2011;127;Drama;Tomas Alfredson;7.0;222414
The Lost World: Jurassic Park;movie;1997;129;Action;Steven Spielberg;6.6;469033
The Prince of Egypt;movie;1998;99;Adventure;Brenda Chapman;7.2;157976
Three Colors: White;movie;1994;92;Comedy;Krzysztof Kieslowski;7.6;84006
Laura;movie;1944;88;Drama;Otto Preminger;7.9;54503
The World's Fastest Indian;movie;2005;127;Biography;Roger Donaldson;7.8;62642
The Killing Fields;movie;1984;141;Biography;Roland Joffé;7.8;62636
We Were Soldiers;movie;2002;138;Action;Randall Wallace;7.2;157231
August Rush;movie;2007;114;Drama;Kirsten Sheridan;7.4;113618
Crimes and Misdemeanors;movie;1989;104;Comedy;Woody Allen;7.8;62518
The Marathon Family;movie;1982;92;Comedy;Slobodan Sijan;8.8;17820
Three Kings;movie;1999;114;Action;David O. Russell;7.1;185590
Brief Encounter;movie;1945;86;Drama;David Lean;8.0;47355
Ace in the Hole;movie;1951;111;Drama;Billy Wilder;8.1;41459
Black Widow;movie;2021;134;Action;Cate Shortland;6.6;464454
Jarhead;movie;2005;125;Biography;Sam Mendes;7.0;219753
Instant Family;movie;2018;118;Comedy;Sean Anders;7.3;132557
Guilty;movie;2015;132;Crime;Meghna Gulzar;8.1;41303
The Hangover Part II;movie;2011;102;Comedy;Todd Phillips;6.5;564499
Sicario: Day of the Soldado;movie;2018;122;Action;Stefano Sollima;7.1;184064
KPop Demon Hunters;movie;2025;95;Action;Chris Appelhans;7.6;82679
Batman: Mask of the Phantasm;movie;1993;76;Action;Kevin Altieri;7.8;61779
X-Men Origins: Wolverine;movie;2009;107;Action;Gavin Hood;6.5;560364
Mysterious Skin;movie;2004;105;Drama;Gregg Araki;7.6;82493
Ice Age: The Meltdown;movie;2006;91;Adventure;Carlos Saldanha;6.8;311869
Ghost World;movie;2001;111;Comedy;Terry Zwigoff;7.3;130864
The Hitman's Bodyguard;movie;2017;118;Action;Patrick Hughes;6.9;259008
Saban, Son of Saban;movie;1977;90;Comedy;Ertem Egilmez;8.7;19642
Autumn Sonata;movie;1978;99;Drama;Ingmar Bergman;8.1;40842
Kill Bill: The Whole Bloody Affair;movie;2006;247;Action;Quentin Tarantino;8.7;19617
Just Mercy;movie;2019;137;Biography;Destin Daniel Cretton;7.6;82011
Panic Room;movie;2002;112;Crime;David Fincher;6.8;310188
Bad Boys;movie;1995;119;Action;Michael Bay;6.8;309332
The Fisher King;movie;1991;137;Comedy;Terry Gilliam;7.5;95012
Stargate;movie;1994;121;Action;Roland Emmerich;7.0;215340
1408;movie;2007;104;Fantasy;Mikael Håfström;6.8;308555
Hannibal;movie;2001;131;Crime;Ridley Scott;6.8;308349
Thuppakki;movie;2012;165;Action;A.R. Murugadoss;8.1;40520
Dersu Uzala;movie;1975;142;Adventure;Akira Kurosawa;8.2;35599
The Grand Illusion;movie;1937;113;Drama;Jean Renoir;8.1;40512
A Knight's Tale;movie;2001;132;Action;Brian Helgeland;7.0;214007
Where the Crawdads Sing;movie;2022;125;Drama;Olivia Newman;7.2;152102
Nope;movie;2022;130;Horror;Jordan Peele;6.8;306728
The Basketball Diaries;movie;1995;102;Biography;Scott Kalvert;7.3;129096
Definitely, Maybe;movie;2008;112;Comedy;Adam Brooks;7.1;179826
Harold & Kumar Go to White Castle;movie;2004;88;Adventure;Danny Leiner;7.0;213466
This Is the End;movie;2013;107;Comedy;Evan Goldberg;6.6;448690
Sinister;movie;2012;110;Horror;Scott Derrickson;6.8;305852
Night on Earth;movie;1991;129;Comedy;Jim Jarmusch;7.7;69706
Kong: Skull Island;movie;2017;118;Action;Jordan Vogt-Roberts;6.7;367548
Fearless;movie;2006;104;Action;Ronny Yu;7.6;80521
Kaiva;movie;2023;138;Action;Jayathirtha;7.7;69365
Elizabeth;movie;1998;124;Biography;Shekhar Kapur;7.4;108977
My Sassy Girl;movie;2001;137;Comedy;Jae-young Kwak;7.9;52190
Allied;movie;2016;124;Action;Robert Zemeckis;7.1;177416
Funny Games;movie;1997;108;Crime;Michael Haneke;7.5;93104
La Vie En Rose;movie;2007;140;Biography;Olivier Dahan;7.5;93068
Delicatessen;movie;1991;99;Comedy;Marc Caro;7.5;93053
Head-On;movie;2004;121;Drama;Fatih Akin;7.8;59895
Four Weddings and a Funeral;movie;1994;117;Comedy;Mike Newell;7.1;176664
Article 15;movie;2019;130;Crime;Anubhav Sinha;8.1;39747
The Cider House Rules;movie;1999;126;Drama;Lasse Hallström;7.4;108214
Sleuth;movie;1972;138;Mystery;Joseph L. Mankiewicz;7.9;51916
Dumbo;movie;1941;64;Adventure;Samuel Armstrong;7.2;148838
Midnight Express;movie;1978;121;Biography;Alan Parker;7.5;92332
Following;movie;1998;69;Crime;Christopher Nolan;7.4;107617
Death at a Funeral;movie;2007;90;Comedy;Frank Oz;7.3;126082
Bad Times at the El Royale;movie;2018;141;Crime;Drew Goddard;7.1;175351
The Way Back;movie;2010;133;Adventure;Peter Weir;7.3;125906
National Lampoon's Vacation;movie;1983;98;Adventure;Harold Ramis;7.3;125846
The Killing of a Sacred Deer;movie;2017;121;Drama;Yorgos Lanthimos;7.0;207787
A Perfect World;movie;1993;138;Crime;Clint Eastwood;7.5;91797
Spy Game;movie;2001;126;Action;Tony Scott;7.1;174553
The Hidden Fortress;movie;1958;126;Adventure;Akira Kurosawa;8.0;44804
Chasing Amy;movie;1997;113;Comedy;Kevin Smith;7.2;147200
Tár;movie;2022;158;Drama;Todd Field;7.4;106307
The Salesman;movie;2016;124;Drama;Asghar Farhadi;7.7;67657
Minari;movie;2020;115;Drama;Lee Isaac Chung;7.4;105906
Lady Vengeance;movie;2005;115;Crime;Park Chan-wook;7.5;90582
Days of Heaven;movie;1978;94;Drama;Terrence Malick;7.7;67142
It Follows;movie;2014;100;Horror;David Robert Mitchell;6.8;291748
Rififi;movie;1955;118;Crime;Jules Dassin;8.1;38704
Fruitvale Station;movie;2013;85;Biography;Ryan Coogler;7.5;90101
The Best of Youth;movie;2003;374;Drama;Marco Tullio Giordana;8.4;26520
The Station Agent;movie;2003;89;Comedy;Tom McCarthy;7.6;77428
The Death of Stalin;movie;2017;107;Comedy;Armando Iannucci;7.3;122972
The Land Before Time;movie;1988;69;Adventure;Don Bluth;7.4;104891
A Very Long Engagement;movie;2004;133;Drama;Jean-Pierre Jeunet;7.6;77335
The Body;movie;2012;112;Crime;Oriol Paulo;7.6;77319
Treasure Planet;movie;2002;95;Adventure;Ron Clements;7.2;144059
Driving Miss Daisy;movie;1989;99;Comedy;Bruce Beresford;7.3;122263
Anastasia;movie;1997;94;Adventure;Don Bluth;7.2;143766
A Dog's Will;movie;2000;104;Comedy;Guel Arraes;8.6;20797
Home;movie;2009;118;Documentary;Yann Arthus-Bertrand;8.5;23366
The Magnificent Seven;movie;2016;132;Action;Antoine Fuqua;6.9;240604
Hotel Mumbai;movie;2018;123;Action;Anthony Maras;7.6;76815
Good Night, and Good Luck.;movie;2005;93;Biography;George Clooney;7.4;104107
No Man's Land;movie;2001;98;Comedy;Danis Tanovic;7.9;50027
Stagecoach;movie;1939;96;Adventure;John Ford;7.8;57457
Man with a Movie Camera;movie;1929;68;Documentary;Dziga Vertov;8.3;29684
American Graffiti;movie;1973;110;Comedy;George Lucas;7.4;103856
Rocky IV;movie;1985;91;Drama;Sylvester Stallone;6.9;239672
Resurrection;movie;2018;147;Drama;Ram;8.7;18472
Amy;movie;2015;128;Biography;Asif Kapadia;7.8;57312
#Home;movie;2021;158;Drama;Rojin Thomas;8.7;18437
The Lion King;movie;2019;118;Adventure;Jon Favreau;6.8;286665
Escape from New York;movie;1981;99;Action;John Carpenter;7.1;168492
Sanjuro;movie;1962;96;Action;Akira Kurosawa;8.0;43428
Hook;movie;1991;142;Adventure;Steven Spielberg;6.8;285659
Ralph Breaks the Internet;movie;2018;112;Adventure;Phil Johnston;7.0;199487
The Circus;movie;1928;72;Comedy;Charles Chaplin;8.1;37894
Out of the Past;movie;1947;97;Crime;Jacques Tourneur;8.0;43231
The Boy and the Heron;movie;2023;124;Adventure;Hayao Miyazaki;7.4;102714
Bride of Frankenstein;movie;1935;75;Drama;James Whale;7.8;56767
Patriots Day;movie;2016;133;Action;Peter Berg;7.3;120107
The Black Phone;movie;2021;103;Horror;Scott Derrickson;6.9;236317
Extraction;movie;2020;116;Action;Sam Hargrave;6.8;283185
Wolfwalkers;movie;2020;103;Action;Tomm Moore;8.0;42999
Locke;movie;2013;85;Drama;Steven Knight;7.1;166236
Precious;movie;2009;110;Drama;Lee Daniels;7.3;119550
White Heat;movie;1949;114;Action;Raoul Walsh;8.1;37664
Bird Box;movie;2018;124;Horror;Susanne Bier;6.6;412441
Brothers;movie;2009;105;Drama;Jim Sheridan;7.1;165892
Creed II;movie;2018;130;Action;Steven Caple Jr.;7.1;165883
The Day After Tomorrow;movie;2004;124;Action;Roland Emmerich;6.5;502904
An Education;movie;2009;100;Drama;Lone Scherfig;7.2;140332
Reign Over Me;movie;2007;124;Drama;Mike Binder;7.4;101859
The Boat That Rocked;movie;2009;117;Comedy;Richard Curtis;7.3;119246
Bridget Jones's Diary;movie;2001;97;Comedy;Sharon Maguire;6.8;281416
Cowboy Bebop: The Movie;movie;2001;115;Action;Shin'ichirô Watanabe;7.8;56314
Hoop Dreams;movie;1994;170;Documentary;Steve James;8.3;29135
